src,dest,ret_count,tot_count
LA,ID,80,94
DC,IN,190,247
DC,SC,409,528
WV,AR,85,113
DE,ME,97,128
AR,MN,576,767
IL,NM,744,1013
GA,MS,5148,7145
CO,AZ,7329,10136
MO,IN,4648,6443
AR,CA,2055,3099
CA,ND,348,459
TN,OK,1299,1761
TX,ID,1278,1713
KS,VA,1096,1546
NE,MI,423,595
WI,WV,200,252
TN,ID,306,388
ME,SC,305,390
DE,UT,97,123
NC,LA,3363,4616
CA,DE,446,534
IN,AR,934,1218
CT,MA,9089,12552
AR,TX,9930,14358
WA,SD,326,406
MI,SC,2429,3292
SC,NH,271,340
AR,KS,1786,2381
NH,NC,885,1156
NH,NE,80,103
AZ,UT,3898,5304
ND,SC,67,90
FL,NH,963,1259
MD,WV,1532,1914
NJ,MD,9129,12353
CA,MD,4177,5250
WV,WA,111,145
MA,MN,1301,1608
CO,NC,2584,3466
SD,MO,508,682
ME,IL,442,591
NV,RI,53,64
CO,SD,1273,1680
MS,VA,912,1194
SC,MT,132,197
WY,NV,229,304
MA,MS,227,312
KY,WA,556,761
NH,NY,3952,5729
SD,WV,10,13
AR,NY,1134,1561
KY,WI,957,1269
GA,ID,355,472
DE,PA,3051,4129
WA,TN,1201,1591
WI,AL,1020,1392
ME,RI,491,661
SC,MA,1582,2131
AR,SD,148,205
MN,OK,981,1315
MO,CO,3820,5188
MI,OR,798,1029
WA,MO,1323,1653
LA,ND,99,143
ID,WY,609,831
MT,WV,23,31
DC,DC,1207,1687
TN,KS,1037,1438
MN,AZ,3102,4153
MO,WY,342,433
AL,OH,2008,2761
ND,WA,198,270
LA,OH,777,1024
WA,WV,121,154
ID,OR,1947,2763
WV,WI,108,147
NC,IA,1206,1572
MD,ID,164,207
MO,KY,3067,4190
AZ,ME,169,224
KY,VA,2380,3466
OH,OH,92652,133419
CT,CT,8569,11725
MI,ID,231,311
IL,WV,708,908
ID,ID,6997,9957
SD,AZ,342,450
CA,NE,1428,1844
KY,PA,2407,3379
IL,MO,17769,23505
NJ,MA,8590,11437
UT,WA,2052,2899
KY,RI,135,165
AZ,IA,640,861
SD,OK,156,199
NC,RI,697,889
MI,OK,790,1058
AL,RI,129,160
AZ,CO,5548,7765
VA,IA,676,891
VT,FL,546,756
VT,GA,181,232
MO,ME,265,360
IL,SC,2632,3537
NH,IN,271,364
DE,CA,741,1036
NC,AL,5201,7226
CT,FL,5640,7978
KS,DC,472,595
WI,PA,2702,3665
AL,AL,43890,66407
NJ,NM,217,277
KY,OH,9671,13885
CT,NY,11359,16714
SC,AR,766,1090
NE,TN,786,1111
NY,IL,8425,10917
NY,MA,17565,23536
OH,MD,4962,6586
FL,KY,4453,5945
MN,LA,984,1282
AR,WY,90,121
NM,MN,196,248
WA,IN,751,976
IN,CT,628,849
AZ,RI,173,229
GA,DC,2482,3276
MA,MA,22521,30283
OH,ND,289,415
UT,ID,3999,5929
KS,NE,3459,4690
MA,IL,4300,5611
DE,MS,41,45
WY,TX,602,859
NE,MO,4266,5708
NE,WV,61,91
NV,DE,39,47
AL,CT,283,354
NM,PA,235,332
AZ,KY,648,814
NY,TN,3632,4843
MS,VT,31,40
MD,OK,516,671
MA,KS,238,300
VA,NM,955,1253
NM,VA,633,814
MD,AZ,1636,2222
MS,CA,1263,1795
UT,OK,472,636
ME,NC,558,738
CT,SD,69,86
MA,TN,1810,2334
MO,LA,1975,2754
TN,IN,4825,6643
NV,FL,1952,2945
OH,NE,902,1174
DE,NC,1012,1402
NH,OR,123,152
SC,SC,46083,69378
PA,SC,4680,6151
UT,MD,652,819
NC,NC,116911,174925
OK,MI,406,568
OH,NY,12257,17170
RI,NH,850,1106
SD,NH,15,16
MN,VT,157,196
WI,AR,714,985
AL,NE,259,319
OH,SD,400,526
CT,LA,455,590
IN,ID,221,285
NC,NE,678,898
OH,NC,10560,14486
NV,GA,674,888
RI,MT,12,19
VT,LA,53,65
NM,MS,73,98
WY,UT,1829,2454
MN,NJ,1656,2253
NM,OH,261,367
NY,KS,492,648
TX,TN,13051,17451
WA,WI,742,1032
OH,AL,3488,4722
CO,WI,1651,2206
MS,KS,226,298
OR,PA,717,972
PA,AR,795,1045
MS,MD,371,553
IN,FL,9039,13206
TN,TN,59428,89037
TN,VT,163,210
GA,LA,5907,8352
OR,OH,641,844
FL,AR,2003,2764
TN,MO,5080,6937
DE,AL,137,183
TN,WV,906,1275
MI,NM,388,504
CA,AR,1375,1758
DE,GA,552,720
VA,NE,560,697
CT,OR,249,342
SC,TX,5048,7389
AR,AZ,585,781
OK,KY,513,671
WA,OR,15696,21100
MD,NM,568,761
GA,NJ,4381,5980
MI,LA,1460,2006
ID,KY,139,187
SD,LA,104,145
OR,RI,58,67
MD,LA,1624,2181
MS,IN,464,635
CO,OR,2271,3050
NJ,AR,467,601
WA,PA,1424,1885
NY,IN,2294,3033
MA,IN,1105,1407
NC,NY,12300,17095
ME,AR,77,104
SD,UT,145,194
MO,MI,1867,2519
IN,CO,2124,2862
WA,VA,1855,2382
ID,NM,216,297
AR,ID,82,100
CT,WA,509,679
WI,SD,953,1294
IL,PA,7579,10332
OR,CT,148,186
AR,IL,2049,2879
WV,IA,51,62
ID,AR,90,126
LA,SD,75,96
MD,NJ,6719,9022
KY,NC,3364,4685
ME,WA,163,235
WV,NM,49,68
FL,TX,22002,31804
SD,NJ,66,85
IN,ME,325,453
IA,KS,2785,3718
OK,AR,5107,7192
MA,NC,3577,4609
NE,AZ,1074,1435
KS,CO,3857,5220
MO,MS,2006,2735
ID,MT,1492,2369
KY,KS,519,697
GA,RI,492,627
NV,NE,193,260
MS,NC,1234,1741
MI,AL,2146,2968
WA,UT,2535,3390
ME,IN,153,194
WI,TN,3137,4129
AZ,MD,1080,1377
WY,CO,3622,4927
NY,SD,231,300
AZ,CA,30219,46795
AZ,MN,1689,2268
MA,SD,106,138
FL,NV,3466,4769
LA,VT,28,33
KS,WY,276,354
OK,MT,160,210
ID,MA,219,282
MO,NJ,1318,1778
DC,MD,1462,1959
ME,DC,230,275
DC,DE,160,192
UT,DE,71,96
CT,DC,1104,1406
NH,VA,1152,1518
CO,CO,38610,53837
NY,WV,1066,1368
NE,ND,419,588
ND,DE,8,12
CA,WA,15332,21036
ME,NE,58,76
MN,NH,248,312
NY,MO,2022,2586
DE,NY,1486,2037
VT,WY,17,24
CT,ME,1966,2637
IL,ND,643,859
VT,IA,41,50
MO,IL,13275,18248
NH,WI,226,298
VT,OR,52,69
AL,NY,1949,2710
OH,CT,1702,2212
NC,SD,311,471
MN,MT,681,895
SD,DE,22,28
VT,ME,720,963
ID,TN,288,369
SC,ND,99,150
MS,WY,60,82
MS,CO,595,816
VT,IL,283,364
DC,WI,138,172
NV,OR,862,1209
MD,VT,352,439
MI,WV,860,1131
MA,PA,7112,9394
GA,NV,2025,2721
VT,MA,2209,2928
PA,MD,18139,24757
AR,MD,318,405
MI,MO,2747,3643
KS,MN,1783,2386
ID,MO,293,379
MD,TN,2475,3180
NY,CO,2672,3526
MA,CO,1588,2052
AR,VT,35,44
MT,AR,46,64
NV,WY,195,268
KS,MS,527,712
OH,WA,2217,3040
PA,ND,162,216
ID,WV,33,47
NC,UT,1478,1957
CT,MI,672,901
NE,CO,3818,5354
ND,TN,147,196
MS,WI,226,313
AL,ID,118,153
ME,OK,76,112
FL,UT,2365,3213
ND,WV,16,19
MI,TN,6467,8733
OR,SD,107,144
TX,VA,10479,14058
OR,NE,246,327
MN,IN,2572,3299
MA,ND,54,66
NE,IA,5565,7980
OR,NY,1347,1817
DE,ID,20,27
WY,CA,514,811
KS,MD,576,751
WY,MN,134,164
VA,UT,1256,1665
NM,NC,223,283
NY,PA,27993,38469
RI,CA,657,911
KS,DE,73,84
NC,WA,2289,3244
NY,LA,2157,2935
VT,MN,91,119
CT,OH,1672,2157
OK,NV,496,664
MO,FL,7533,10681
CT,MN,615,763
UT,NM,888,1269
IL,NJ,4296,5928
AZ,GA,2007,2644
DE,SC,450,632
NH,DE,139,178
MA,LA,943,1242
VT,MS,24,27
AZ,FL,4760,6673
KY,IN,7703,11170
VA,FL,18644,26655
SC,ID,123,171
NC,WI,2259,3027
MO,NY,3175,4277
NV,OK,330,469
MS,UT,153,217
AL,SC,2905,4018
MA,UT,642,831
FL,ID,462,604
CT,MS,125,154
VT,ND,7,9
CO,DE,209,285
DC,AR,84,100
SC,AL,3289,4637
GA,CT,1489,1978
MT,OK,122,167
MA,RI,2962,3661
NH,MA,5778,7768
KS,CT,232,311
DC,WY,22,31
MS,KY,830,1136
MS,ME,67,93
LA,DE,50,61
NM,DC,253,318
TX,NM,11592,15990
NY,RI,3032,3908
PA,AL,1642,2137
CT,KS,154,205
IL,AR,2406,3311
SD,NV,138,189
DC,OR,181,225
ME,DE,102,126
CA,AL,1879,2499
CO,MA,2385,3120
MT,MO,170,219
NE,MT,192,272
SC,MI,1348,1885
SD,AR,85,117
AL,ND,79,101
NM,IN,129,168
NH,MD,762,960
NY,NJ,18639,25930
NC,VA,31593,45748
IN,MN,2317,3150
MT,TN,169,222
NJ,ID,152,204
VT,AL,41,51
MA,NJ,6798,9250
VA,CO,4035,5435
DC,WA,288,374
KS,MA,663,879
GA,NE,687,859
IN,CA,5469,8302
GA,SD,333,468
TN,DE,247,353
NC,OR,1228,1666
CT,GA,1686,2205
MD,AR,361,466
OR,IN,365,496
DE,ND,8,10
MO,KS,8762,12216
ME,UT,112,140
OR,AR,174,225
IN,MI,8058,11758
AL,WA,706,1015
SD,MT,273,372
NJ,SC,2852,3688
CT,NJ,4552,6325
VT,NJ,485,636
MN,NV,1175,1580
NC,DC,3847,4963
AZ,TX,10476,15204
GA,VT,360,459
OH,DC,2094,2648
DE,DC,382,467
WA,IA,445,560
SD,VT,4,5
KS,FL,3418,4880
OK,MO,4684,6209
AL,KS,444,575
WV,WV,7032,10312
NC,DE,1056,1346
AL,DE,127,154
TN,MI,2499,3593
GA,FL,47014,69919
NE,AR,389,529
OR,UT,1242,1590
WV,TN,1273,1710
OK,WV,175,237
KS,GA,1596,2193
WV,MO,211,276
NM,UT,526,686
AR,IN,793,1080
KS,NY,1663,2328
AZ,SC,597,747
VT,IN,70,101
VA,PA,16156,21806
LA,MT,80,113
ID,MD,177,223
DE,IL,456,612
IN,TX,5729,8428
NY,GA,6129,8051
NH,WA,266,340
NE,OK,909,1212
OH,MA,4347,5852
MA,GA,2890,3739
CO,UT,6477,8762
ID,NH,25,33
VA,VT,495,601
MO,MN,2917,3826
OH,IL,18031,24895
MI,ND,230,278
DE,KS,49,64
MA,CT,8176,10953
OK,DE,64,73
NJ,AL,784,980
ND,ND,4242,5833
MS,IA,166,214
NC,IL,8206,11100
WA,NE,477,581
CO,NE,3682,4771
CO,DC,1281,1599
FL,MT,558,748
AL,MA,828,1138
NJ,NH,965,1188
NC,NJ,6426,8911
WA,DC,981,1202
MD,MO,1296,1675
WV,OK,110,149
MT,ID,1051,1451
OR,NM,379,528
DC,ND,15,16
ME,MD,451,571
SD,ND,984,1489
MO,WA,1605,2229
WV,CT,145,206
VA,WY,206,271
AZ,OR,2075,2824
MN,UT,1113,1439
PA,MI,4125,5639
NJ,MI,1572,2243
UT,AR,188,235
CO,AL,1212,1650
AR,NC,988,1342
ND,AZ,301,410
FL,NM,1232,1726
TX,MT,1041,1385
VT,NY,2151,2951
AZ,WY,274,373
TN,MT,265,373
CA,NM,3677,4868
RI,TX,508,690
MD,SD,160,223
IL,CA,17038,24841
DC,OK,112,141
AR,NE,435,576
IN,MS,765,1024
PA,NM,421,547
NE,VT,18,22
NM,WI,109,129
NM,RI,26,30
MO,OK,4724,6643
MD,DC,3645,4561
AR,DC,311,420
TX,VT,430,540
WY,KS,117,158
OR,WI,403,581
NV,MD,376,520
RI,WV,34,42
AZ,ID,831,1093
NE,CA,2208,3298
IN,GA,4893,6690
WY,TN,96,125
GA,UT,1650,2215
SD,TX,678,1018
WI,IA,4286,5823
MS,MN,259,329
CT,NC,2252,2950
OR,VA,669,868
NE,NV,360,453
MO,AZ,2196,2892
NV,NH,40,50
RI,MO,136,195
MA,DE,626,818
VA,CA,12250,17747
MS,IL,1224,1701
IA,IA,21192,30005
WI,MT,288,397
AZ,OH,1760,2371
CT,IN,613,817
DC,ID,45,58
GA,CO,3857,5240
IL,TX,15513,21698
IN,TN,8456,11348
TN,AR,5146,7513
MN,KY,1296,1722
GA,WY,273,349
VA,MS,1006,1335
MO,RI,159,210
OH,DE,733,889
AZ,ND,183,237
NV,MA,384,537
MO,OH,3735,5017
VA,MN,1654,2109
RI,ID,13,18
GA,ME,743,1066
DE,MD,2422,3352
TX,AR,13291,18022
MS,MA,284,412
KY,MN,890,1194
MA,NE,227,272
AR,WI,367,490
IA,ME,118,169
LA,WV,153,217
WI,NV,848,1070
AZ,MS,342,465
VA,CT,2074,2666
RI,KY,82,112
LA,MO,1019,1363
RI,MI,133,175
AR,RI,61,74
NM,KS,351,468
MA,ME,5972,8070
LA,TN,3240,4345
WY,ME,18,34
NC,IN,3587,4832
NY,DC,4983,6350
AR,OH,860,1180
WV,MT,35,43
IL,UT,1696,2193
IL,LA,3194,4477
ME,WI,195,275
MS,DC,307,382
MO,GA,3805,5312
MA,DC,2116,2686
OR,VT,68,83
DE,IN,171,214
OR,TN,526,697
MN,AR,802,1134
KS,ME,145,201
WV,NH,36,45
WY,LA,85,104
VT,VA,376,457
KS,WA,909,1268
OR,CA,11238,16591
UT,MI,471,659
SC,AZ,1097,1493
IA,AR,471,660
VA,NY,13783,18986
IA,NJ,491,714
MD,KY,1141,1468
ND,MI,79,106
MT,MT,9004,14037
SD,NM,97,136
IA,VT,88,105
IL,VA,4839,6525
MN,CA,8616,12570
FL,TN,13692,18516
MS,GA,4248,6089
WV,MI,255,358
KY,MI,2175,3183
CA,TN,4486,5962
MN,OH,3207,4376
MT,ME,31,45
MO,MD,1359,1825
DE,NE,41,55
VA,KS,708,917
WV,KY,1668,2266
CT,OK,213,267
OK,NM,1347,1795
WV,ME,63,90
IN,DC,821,1042
SC,MO,1204,1618
DC,NH,87,111
AZ,IL,3792,5094
PA,TN,5046,6687
IL,WI,17432,24428
WA,ME,205,289
ND,MT,400,538
TX,CT,2071,2740
OK,LA,2002,2802
MT,IA,110,154
VT,WA,84,119
AZ,MA,1254,1757
ID,NJ,180,241
MT,CO,1106,1536
GA,DE,484,619
DC,MT,56,75
KS,SC,491,644
TX,NV,5894,7851
MD,UT,717,965
OR,IA,190,237
NC,MA,5179,6906
WY,IN,66,88
WI,NM,298,395
WA,CO,3261,4265
TN,NV,1323,1825
MS,MS,21750,33831
MI,UT,952,1242
TX,CA,41923,61968
SC,WV,866,1116
VA,MA,4633,6153
AR,WA,382,547
IN,NC,3280,4498
ID,MI,166,216
SC,TN,7301,10286
OR,OR,16219,22354
IN,SD,379,516
GA,KS,1187,1537
NM,FL,884,1222
WY,VT,9,11
OR,GA,728,975
MS,SC,655,897
NV,MO,484,655
IL,VT,304,368
WA,CT,360,453
IA,TX,3106,4468
RI,VT,330,407
MA,SC,1452,1836
IN,IA,1843,2515
MT,NV,345,471
AR,MA,361,471
OR,FL,1567,2184
NH,AL,152,189
AZ,NE,700,872
CA,MI,2955,3953
MO,DC,890,1104
ME,ID,42,54
WA,MS,236,316
DE,OR,39,45
IN,RI,219,270
VA,DC,6483,8362
IA,KY,853,1141
IA,MI,949,1324
KY,MS,939,1299
MN,NM,449,567
CO,SC,966,1245
IA,NM,214,283
WI,CA,5398,8059
AR,OR,163,219
NY,NE,478,574
NM,MD,309,397
VT,WI,60,70
MS,TX,5214,7865
IA,LA,535,765
VA,GA,9482,12665
DC,MA,597,783
LA,CA,2532,3733
LA,NV,394,510
MT,NH,10,11
VA,AZ,2746,3807
OK,DC,388,493
KS,IN,1232,1644
NY,OH,9235,12494
OR,ME,93,124
VA,IL,6053,7922
SC,VT,177,226
LA,LA,36303,53211
OR,WY,244,297
GA,SC,18218,25657
OR,CO,1566,2062
IL,CT,1520,2009
WI,LA,999,1375
WA,NY,2895,3886
WI,KY,2188,2902
MS,ND,33,43
AZ,WA,3181,4378
AZ,AZ,36718,52269
LA,NM,337,471
WA,FL,3909,5370
RI,NV,72,87
MS,RI,63,88
KY,ID,112,144
MS,OH,564,817
DE,WI,87,150
NM,GA,307,389
VA,NC,25704,36214
KY,FL,6442,9496
MO,NE,3217,4409
NJ,OK,359,489
WA,MN,1391,1836
NY,UT,1256,1667
MN,TN,2492,3371
MO,NC,2506,3421
NC,WY,249,333
NJ,AZ,1857,2447
GA,IL,8424,11432
PA,ID,252,309
WY,NJ,47,66
GA,MA,3812,5095
PA,OK,921,1242
MN,TX,6619,9390
NV,WV,30,35
KS,OK,5320,7357
MI,AR,819,1152
CO,OH,2778,3758
ND,AR,43,51
WA,OH,1300,1689
CO,ND,875,1342
MT,VT,12,12
NH,ND,19,22
WA,GA,1767,2320
MI,TX,7517,10631
MD,TX,5604,7629
DC,WV,142,178
VT,NC,259,320
CT,NE,113,146
OK,SD,219,289
KS,KS,15949,22774
TN,AL,13813,19908
NM,OR,217,258
DC,MO,286,358
WI,ME,340,666
RI,TN,229,291
MA,OH,2563,3391
SD,TN,195,243
DC,TN,415,511
ID,TX,1272,1765
MN,FL,6897,9729
TX,IA,2804,3661
UT,TN,782,1102
DE,AZ,241,339
WI,UT,763,1020
SD,CA,573,835
NC,OK,1163,1580
MO,SC,1110,1518
MS,OR,127,172
NY,MN,1989,2526
ND,MO,219,270
KY,AZ,843,1119
NE,KY,425,577
OH,OK,1544,2056
NC,AZ,3117,4179
GA,IN,3327,4539
AL,OK,920,1285
PA,NH,1213,1553
UT,VT,64,86
MT,SD,447,599
OH,ID,350,441
WY,OH,82,115
OR,DC,405,494
DC,NV,193,292
OK,TX,23542,34889
AL,AZ,1267,1812
KY,OK,525,716
KS,MT,212,294
WY,MS,28,33
MN,OR,1037,1381
MN,WY,399,532
RI,FL,1297,1862
FL,OH,7905,10809
NC,MD,9166,12442
KY,MD,1089,1454
MT,DC,115,148
KY,DE,150,186
FL,CA,19236,29173
IA,PA,865,1156
NY,NY,95050,140337
IA,CO,2035,2785
MA,NY,19461,27443
MN,IA,6917,9472
IN,KS,1021,1313
GA,VA,9656,13256
IA,RI,75,103
GA,WI,2201,3035
MO,ND,297,428
TX,TX,336400,516115
TN,TX,11277,17081
AL,WV,201,280
MI,RI,336,420
AZ,AL,751,950
IN,SC,1801,2388
FL,CT,2911,3832
CA,CT,1527,1993
CO,MO,3570,4762
ID,MN,338,438
MD,IA,411,564
SD,IA,1294,1771
DC,KY,198,256
KY,MT,135,176
RI,ME,744,1020
MD,OR,573,692
OK,PA,1029,1435
AL,TN,14679,20630
SD,CO,1110,1500
NV,AR,147,205
SC,SD,118,166
DC,NM,167,234
UT,ME,97,133
AZ,NH,158,213
AL,VT,69,91
ID,MS,52,66
IN,IN,34776,50560
CT,ND,36,42
ND,KY,61,78
UT,CO,3844,5509
NM,NH,25,30
MO,MO,35053,49399
MD,IN,1352,1803
MN,VA,1863,2440
PA,VT,1004,1250
MN,WI,10588,14815
NM,OK,644,843
CA,MT,1137,1513
UT,NV,4545,6516
RI,GA,362,461
LA,UT,323,445
IL,NY,10930,14978
TX,KY,4586,6103
VA,DE,2395,3098
NM,WA,370,479
WA,NC,1414,1877
WY,CT,22,30
PA,MT,243,336
NM,AZ,3466,4747
OR,WA,9877,14269
IN,IL,18358,25734
WY,GA,103,139
MO,WV,349,458
CA,NH,575,696
NY,MS,445,581
GA,OR,1206,1642
NV,MI,319,435
CT,MO,547,717
MD,VA,19241,26447
ND,CO,529,687
MI,PA,6034,8286
ME,NV,84,136
CA,NV,21004,29235
DE,MT,16,18
PA,NV,1489,2000
WI,VT,156,204
NY,NC,8647,11485
IL,WA,3138,4265
CO,TN,2517,3369
MI,VA,3163,4267
VA,AL,2932,3834
MT,UT,973,1305
NV,NM,619,855
MI,WI,4586,6382
PA,CT,4738,6315
NM,DE,9,11
MO,AL,2175,2964
VT,SC,133,175
CT,WV,154,189
NE,TX,2727,3865
ID,VA,345,471
KY,NH,105,135
FL,GA,42426,60150
CO,WV,235,324
ID,PA,328,438
SD,WY,397,580
MD,WI,781,1002
RI,WY,9,10
NC,MT,333,440
ND,IA,284,375
WY,NC,82,111
WY,DC,57,68
IN,PA,4117,5761
NJ,SD,112,159
LA,GA,3318,4806
UT,KY,413,534
OH,MO,4788,6499
NY,WA,1758,2410
OK,OH,997,1302
WV,MN,125,158
WA,MD,933,1157
WV,CA,439,620
DE,NV,110,140
MN,MA,2211,2990
MA,OK,342,427
MN,IL,10417,13854
KS,AZ,1339,1761
RI,LA,133,168
FL,CO,6310,8707
ID,GA,312,416
KS,ID,184,244
OK,RI,64,73
OH,WV,5648,7819
CA,SD,489,633
WA,DE,88,108
NM,MT,58,69
FL,SD,549,740
TX,UT,4819,6393
MA,WA,1011,1338
SC,DC,1054,1410
AL,MO,1611,2065
SD,KY,126,167
MT,CA,1344,2085
FL,DC,3950,5182
RI,NJ,961,1290
WA,NH,151,199
MA,AZ,1485,1911
SC,UT,490,657
NH,MT,58,82
NY,OK,664,874
OK,CT,177,240
CA,ME,585,775
NH,NH,3151,4046
WV,MS,94,129
SC,LA,1645,2341
KY,NV,543,736
FL,ME,1268,1773
SD,MA,98,133
WA,MT,2751,4149
MO,AR,5155,7227
MT,MS,27,31
RI,IL,471,563
NY,AZ,2809,3701
CO,NH,252,300
SD,IL,643,871
IN,ND,211,312
FL,NJ,8066,11247
TX,MN,5705,7596
UT,TX,3549,5169
TX,OH,9053,12226
WV,NY,748,1049
NJ,LA,1281,1716
NJ,UT,711,920
ME,MI,152,196
LA,ME,91,125
ME,LA,190,259
OK,NE,613,805
NY,DE,2440,3097
CA,NJ,5133,6836
UT,KS,366,474
TX,MS,7918,10563
NY,MD,9970,12909
MA,MD,3363,4253
PA,LA,2089,2845
ID,DC,158,201
LA,KY,675,898
ME,KY,118,157
IN,NY,3566,5013
ME,NM,61,74
MT,FL,459,661
LA,CO,1092,1434
ID,NC,251,328
ND,TX,665,966
MT,GA,189,245
WV,GA,656,880
VA,ID,368,490
ID,SD,144,190
CA,LA,3805,5224
MD,NC,8548,11399
NE,MN,2206,2956
NE,OH,711,1077
OK,NY,1020,1416
DC,TX,1195,1507
LA,OR,217,277
FL,LA,8790,12455
AR,NM,328,426
NJ,DC,3081,3811
IL,MD,3077,3986
NM,NV,701,974
LA,WY,130,190
ME,ME,8104,11679
SC,NJ,2015,2848
WI,CO,2283,3097
NE,MS,156,207
OH,KY,17028,23290
MT,OR,455,605
UT,SC,321,469
TN,CT,675,909
LA,MA,468,635
TX,GA,14687,20391
PA,KS,775,1002
MN,MN,35001,48301
FL,KS,1488,2023
MT,WY,850,1246
CA,KS,1351,1741
MN,ND,5050,7003
IA,ND,429,602
KS,MO,10251,14476
RI,WI,96,124
DE,NM,34,46
MO,UT,896,1216
OK,WA,710,1029
WV,DC,333,420
KY,NM,190,267
TN,RI,288,357
NE,CT,150,201
OH,CO,3756,5017
NJ,NJ,21615,30365
NC,MI,3271,4599
PA,NJ,15426,22619
TX,AL,9196,12358
NE,GA,732,986
NY,MT,234,316
GA,MO,3336,4428
AL,KY,2872,3863
WV,NC,2227,3019
ME,NJ,775,1028
KS,TN,1765,2389
IL,FL,18369,26130
KS,VT,52,60
MS,AL,8112,11444
IA,SC,387,525
OH,IA,1753,2308
MA,MT,117,153
OH,ME,688,958
ID,LA,202,282
GA,WV,809,1081
ID,UT,5086,7076
NY,NH,2250,2848
MS,NH,42,58
NC,KY,4694,6350
KS,WV,151,186
CT,AR,202,253
MA,NH,5499,7059
RI,IN,115,150
IL,OR,1520,2035
WI,MA,1410,1880
IA,AL,527,718
ME,KS,70,87
NM,MI,97,138
WI,KS,967,1329
MN,MS,396,502
ME,TX,688,948
OH,AR,1284,1667
NM,NM,10873,15596
DC,MN,304,381
RI,OR,76,103
RI,VA,688,919
ND,OH,147,207
CT,TX,2424,3264
TN,NY,4747,6658
ND,MN,4469,5925
SD,MN,3747,5089
ND,MS,24,31
WV,AZ,157,199
IN,WA,1135,1646
DC,PA,1402,1847
OR,MI,368,489
TN,NE,625,853
WA,ID,4258,5811
NE,ME,60,73
ND,AL,57,73
CA,IN,3054,4122
DC,MS,122,159
ID,DE,15,17
MT,IL,314,400
MI,MN,3047,4029
MD,MN,1063,1376
UT,OH,902,1210
AL,TX,6754,9984
SD,OH,204,296
MO,CA,6568,9558
SD,MS,37,56
UT,PA,914,1254
UT,RI,69,84
AR,MT,90,114
UT,ND,147,207
MI,MS,850,1153
PA,IN,4119,5462
IL,ID,516,690
IN,OK,864,1186
AR,NH,49,69
NJ,FL,13399,18598
MD,AL,1338,1740
MT,MA,152,193
KY,TN,11905,16834
NV,SD,108,161
WV,MD,1420,1881
VA,NV,1662,2276
MD,NH,474,612
PA,WI,2056,2816
NV,NC,448,607
SC,OR,403,543
OH,TX,11889,17118
SC,WY,99,130
UT,AL,360,496
MN,NC,2465,3265
SC,CO,1231,1666
DC,GA,784,1102
SD,GA,184,259
OK,KS,4230,5775
NH,LA,174,214
OK,MD,420,535
NC,TX,12599,18042
MD,MS,466,607
TN,WA,1452,2049
ND,CT,33,64
MS,SD,53,74
MA,ID,121,154
NH,NJ,1420,1927
ND,FL,429,586
MI,GA,5251,7123
IN,MD,1479,1981
PA,PA,74593,107457
LA,SC,706,1006
AR,PA,709,954
ND,NY,160,229
CA,RI,618,775
SC,IA,412,527
NY,ID,263,355
NJ,OR,547,706
PA,VA,18096,24832
TX,AZ,12964,17439
WI,SC,1068,1477
MI,FL,11404,16308
IL,MI,12676,17869
PA,RI,1416,1843
NV,DC,286,371
DC,NY,2430,3214
NJ,WY,92,137
VT,VT,1623,2200
OR,MO,531,649
WI,ND,649,849
WV,IN,456,571
ME,PA,990,1357
OR,SC,244,317
SD,NC,177,255
RI,NC,471,632
ME,VA,721,942
DC,NC,1108,1432
NY,MI,2821,3922
MN,ID,419,543
NE,DE,53,80
WA,VT,93,113
OR,WV,51,74
IN,NH,310,383
VT,NV,56,69
UT,NE,537,739
VT,CA,394,559
WI,OH,4241,5812
AR,CT,109,143
MA,MI,1324,1797
IN,MT,232,333
IA,WA,502,711
WY,NM,129,169
NV,UT,2803,3990
UT,NY,1597,2287
CO,VT,216,271
